caldt,vwretd
10/01/1964,-0.000093
13/01/1964,-0.000619
14/01/1964,0.001741
15/01/1964,0.002726
16/01/1964,-0.000795
17/01/1964,0.000208
20/01/1964,-0.002320
21/01/1964,0.002380
22/01/1964,0.005020
23/01/1964,0.001173
24/01/1964,0.000582
27/01/1964,-0.001199
28/01/1964,-0.000176
29/01/1964,-0.005639
30/01/1964,0.000419
31/01/1964,0.004008
03/02/1964,-0.000089
04/02/1964,-0.001159
05/02/1964,-0.000698
06/02/1964,0.002534
07/02/1964,0.003804
10/02/1964,-0.001264
11/02/1964,0.003429
12/02/1964,0.003103
13/02/1964,0.000884
14/02/1964,-0.000309
17/02/1964,0.000300
18/02/1964,0.000202
19/02/1964,0.001259
20/02/1964,0.001017
24/02/1964,0.001156
25/02/1964,0.000515
26/02/1964,0.002875
27/02/1964,-0.002763
28/02/1964,0.002232
02/03/1964,0.002478
03/03/1964,0.002527
04/03/1964,-0.001818
05/03/1964,0.000205
06/03/1964,0.003261
09/03/1964,0.000224
10/03/1964,0.002797
11/03/1964,0.004084
12/03/1964,0.001902
13/03/1964,0.001230
16/03/1964,0.000574
17/03/1964,0.001956
18/03/1964,0.001100
19/03/1964,-0.000688
20/03/1964,-0.004001
23/03/1964,0.000377
24/03/1964,-0.001570
25/03/1964,0.002649
26/03/1964,0.002725
30/03/1964,-0.000843
31/03/1964,-0.001542
01/04/1964,0.003644
02/04/1964,0.005914
03/04/1964,0.002357
06/04/1964,0.000923
07/04/1964,-0.003224
08/04/1964,0.000269
09/04/1964,0.000168
10/04/1964,0.001930
13/04/1964,-0.000611
14/04/1964,0.001926
15/04/1964,0.001209
16/04/1964,0.001064
17/04/1964,0.003924
20/04/1964,-0.000598
21/04/1964,0.000447
22/04/1964,-0.000335
23/04/1964,-0.001639
24/04/1964,-0.007555
27/04/1964,-0.005177
28/04/1964,0.006447
29/04/1964,-0.003892
30/04/1964,-0.002311
01/05/1964,0.007781
04/05/1964,0.004598
05/05/1964,0.004546
06/05/1964,0.002735
07/05/1964,0.001111
08/05/1964,-0.001577
11/05/1964,-0.000069
12/05/1964,0.003349
13/05/1964,-0.002171
14/05/1964,-0.000874
15/05/1964,0.001615
18/05/1964,-0.003164
19/05/1964,-0.004326
20/05/1964,0.004348
21/05/1964,0.000919
22/05/1964,0.000693
25/05/1964,-0.001023
26/05/1964,-0.001568
27/05/1964,-0.001241
28/05/1964,0.001649
01/06/1964,-0.003167
02/06/1964,-0.005064
03/06/1964,-0.002621
04/06/1964,-0.010029
05/06/1964,0.004137
08/06/1964,-0.004578
09/06/1964,0.005657
10/06/1964,0.003812
11/06/1964,0.003039
12/06/1964,-0.001975
15/06/1964,0.004564
16/06/1964,0.005191
17/06/1964,0.005243
18/06/1964,0.000179
19/06/1964,0.001242
22/06/1964,0.002615
23/06/1964,-0.003524
24/06/1964,0.003538
25/06/1964,0.001927
26/06/1964,0.002774
29/06/1964,0.001773
30/06/1964,0.000469
01/07/1964,0.006220
02/07/1964,0.004017
06/07/1964,0.004259
07/07/1964,0.001579
08/07/1964,0.000268
09/07/1964,0.001359
10/07/1964,0.002061
13/07/1964,-0.000495
14/07/1964,-0.002644
15/07/1964,0.003738
16/07/1964,0.003161
17/07/1964,0.004523
20/07/1964,-0.002829
21/07/1964,-0.001701
22/07/1964,0.000318
23/07/1964,-0.000112
24/07/1964,-0.000171
27/07/1964,-0.004681
28/07/1964,-0.002268
29/07/1964,0.001310
30/07/1964,0.001397
31/07/1964,0.000822
03/08/1964,-0.002252
04/08/1964,-0.011021
05/08/1964,0.001663
06/08/1964,-0.008376
07/08/1964,0.005670
10/08/1964,0.000351
11/08/1964,0.000001
12/08/1964,0.005148
13/08/1964,0.002931
14/08/1964,-0.000889
17/08/1964,0.000030
18/08/1964,0.000732
19/08/1964,-0.000789
20/08/1964,-0.004210
21/08/1964,0.001753
24/08/1964,-0.001880
25/08/1964,-0.004806
26/08/1964,-0.001526
27/08/1964,0.004949
28/08/1964,0.003189
31/08/1964,-0.001841
01/09/1964,0.004609
02/09/1964,0.002195
03/09/1964,0.002709
04/09/1964,0.002277
08/09/1964,0.001377
09/09/1964,0.001970
10/09/1964,0.001016
11/09/1964,0.003512
14/09/1964,-0.002178
15/09/1964,-0.002195
16/09/1964,0.002870
17/09/1964,0.005959
18/09/1964,-0.003310
21/09/1964,0.004257
22/09/1964,0.000642
23/09/1964,0.000208
24/09/1964,0.001126
25/09/1964,0.002267
28/09/1964,0.000742
29/09/1964,0.000079
30/09/1964,-0.000232
01/10/1964,-0.001282
02/10/1964,0.002445
05/10/1964,0.004168
06/10/1964,0.000375
07/10/1964,-0.000082
08/10/1964,0.002596
09/10/1964,0.002141
12/10/1964,0.000740
13/10/1964,-0.002178
14/10/1964,-0.001639
15/10/1964,-0.006948
16/10/1964,0.007044
19/10/1964,0.001490
20/10/1964,0.002671
21/10/1964,-0.000318
22/10/1964,-0.001554
23/10/1964,0.002113
26/10/1964,-0.001570
27/10/1964,-0.000316
28/10/1964,-0.003330
29/10/1964,0.000565
30/10/1964,0.001845
02/11/1964,0.004539
04/11/1964,0.000026
05/11/1964,0.000114
06/11/1964,0.002090
09/11/1964,-0.000175
10/11/1964,-0.003921
11/11/1964,0.002691
12/11/1964,0.002038
13/11/1964,0.001268
16/11/1964,0.004352
17/11/1964,0.004564
18/11/1964,0.002492
19/11/1964,-0.000022
20/11/1964,0.001076
23/11/1964,-0.002401
24/11/1964,-0.002523
25/11/1964,-0.001973
27/11/1964,-0.002790
30/11/1964,-0.008366
01/12/1964,-0.009714
02/12/1964,0.002758
03/12/1964,0.003956
04/12/1964,0.001871
07/12/1964,-0.000043
08/12/1964,-0.003432
09/12/1964,-0.006512
10/12/1964,-0.000295
11/12/1964,0.002299
14/12/1964,-0.002380
15/12/1964,-0.003169
16/12/1964,0.003979
17/12/1964,0.003681
18/12/1964,0.004869
21/12/1964,0.000877
22/12/1964,-0.000468
23/12/1964,-0.001902
24/12/1964,0.000283
28/12/1964,-0.000827
29/12/1964,-0.002869
30/12/1964,0.005766
31/12/1964,0.005175
04/01/1965,-0.004324
05/01/1965,0.005029
06/01/1965,0.003668
07/01/1965,0.004114
08/01/1965,0.001788
11/01/1965,0.000733
12/01/1965,0.002923
13/01/1965,0.002876
14/01/1965,0.000238
15/01/1965,0.004310
18/01/1965,0.003014
19/01/1965,0.001833
20/01/1965,-0.000075
21/01/1965,-0.000832
22/01/1965,0.002608
25/01/1965,0.001734
